usage	id	name	e_Type	damage_Type	dispel_School	drain_Percentage	boost
1	4200	Into the Darkness	NULL	NULL	NULL	NULL	NULL
1	4215	Shadow Armor	NULL	NULL	NULL	NULL	NULL
1	4716	Burning Curse	NULL	128	NULL	NULL	-100
1	5427	Minor Void Magic Aptitude	NULL	NULL	NULL	NULL	NULL
1	5429	Epic Void Magic Aptitude	NULL	NULL	NULL	NULL	NULL
1	5434	Master Voidlock's Void Magic Aptitude	NULL	NULL	NULL	NULL	NULL
1	5435	Spectral Void Magic Mastery	NULL	NULL	NULL	NULL	NULL
1	5436	Prodigal Void Magic Mastery	NULL	NULL	NULL	NULL	NULL
1	5742	Weave of Void Magic V	NULL	NULL	NULL	NULL	NULL
1	6245	Paragon's Void Magic Mastery V	NULL	NULL	NULL	NULL	NULL
2	1782	Gertarh's Curse	NULL	NULL	NULL	NULL	NULL
2	3801	Shadow Touch	NULL	NULL	NULL	NULL	NULL
2	3802	Shadow Reek	NULL	NULL	NULL	NULL	NULL
2	4124	Dark Nanners	1	NULL	NULL	NULL	NULL
2	5337	Destructive Curse VII	1024	NULL	NULL	NULL	NULL
2	5339	Destructive Curse I	1024	NULL	NULL	NULL	NULL
2	5340	Destructive Curse II	1024	NULL	NULL	NULL	NULL
2	5341	Destructive Curse III	1024	NULL	NULL	NULL	NULL
2	5342	Destructive Curse IV	1024	NULL	NULL	NULL	NULL
2	5343	Destructive Curse V	1024	NULL	NULL	NULL	NULL
2	5345	Nether Streak V	1024	NULL	NULL	NULL	NULL
2	5346	Nether Streak VI	1024	NULL	NULL	NULL	NULL
2	5347	Nether Streak VII	1024	NULL	NULL	NULL	NULL
2	5350	Nether Bolt II	1024	NULL	NULL	NULL	NULL
2	5351	Nether Bolt III	1024	NULL	NULL	NULL	NULL
2	5352	Nether Bolt IV	1024	NULL	NULL	NULL	NULL
2	5353	Nether Bolt V	1024	NULL	NULL	NULL	NULL
2	5354	Nether Bolt VI	1024	NULL	NULL	NULL	NULL
2	5358	Nether Streak II	1024	NULL	NULL	NULL	NULL
2	5359	Nether Streak III	1024	NULL	NULL	NULL	NULL
2	5360	Nether Streak IV	1024	NULL	NULL	NULL	NULL
2	5362	Nether Arc II	1024	NULL	NULL	NULL	NULL
2	5363	Nether Arc III	1024	NULL	NULL	NULL	NULL
2	5364	Nether Arc IV	1024	NULL	NULL	NULL	NULL
2	5365	Nether Arc V	1024	NULL	NULL	NULL	NULL
2	5366	Nether Arc VI	1024	NULL	NULL	NULL	NULL
2	5370	Incantation of Nether Streak	1024	NULL	NULL	NULL	NULL
2	5372	Festering Curse II	1024	NULL	NULL	NULL	NULL
2	5373	Festering Curse III	1024	NULL	NULL	NULL	NULL
2	5374	Festering Curse IV	1024	NULL	NULL	NULL	NULL
2	5375	Festering Curse V	1024	NULL	NULL	NULL	NULL
2	5376	Festering Curse VI	1024	NULL	NULL	NULL	NULL
2	5380	Weakening Curse II	1024	NULL	NULL	NULL	NULL
2	5381	Weakening Curse III	1024	NULL	NULL	NULL	NULL
2	5382	Weakening Curse IV	1024	NULL	NULL	NULL	NULL
2	5383	Weakening Curse V	1024	NULL	NULL	NULL	NULL
2	5384	Weakening Curse VI	1024	NULL	NULL	NULL	NULL
2	5403	Void Magic Mastery Other I	NULL	NULL	NULL	NULL	NULL
2	5404	Void Magic Mastery Other II	NULL	NULL	NULL	NULL	NULL
2	5405	Void Magic Mastery Other III	NULL	NULL	NULL	NULL	NULL
2	5406	Void Magic Mastery Other IV	NULL	NULL	NULL	NULL	NULL
2	5411	Void Magic Mastery Self I	NULL	NULL	NULL	NULL	NULL
2	5412	Void Magic Mastery Self II	NULL	NULL	NULL	NULL	NULL
2	5413	Void Magic Mastery Self III	NULL	NULL	NULL	NULL	NULL
2	5414	Void Magic Mastery Self IV	NULL	NULL	NULL	NULL	NULL
2	5415	Void Magic Mastery Self V	NULL	NULL	NULL	NULL	NULL
2	5416	Void Magic Mastery Self VI	NULL	NULL	NULL	NULL	NULL
2	5417	Void Magic Mastery Self VII	NULL	NULL	NULL	NULL	NULL
2	5419	Void Magic Ineptitude Other I	NULL	NULL	NULL	NULL	NULL
2	5420	Void Magic Ineptitude Other II	NULL	NULL	NULL	NULL	NULL
2	5421	Void Magic Ineptitude Other III	NULL	NULL	NULL	NULL	NULL
2	5422	Void Magic Ineptitude Other IV	NULL	NULL	NULL	NULL	NULL
2	5423	Void Magic Ineptitude Other V	NULL	NULL	NULL	NULL	NULL
2	5424	Void Magic Ineptitude Other VI	NULL	NULL	NULL	NULL	NULL
2	5425	Void Magic Ineptitude Other VII	NULL	NULL	NULL	NULL	NULL
2	5546	Nether Blast III	1024	NULL	NULL	NULL	NULL
2	5547	Nether Blast IV	1024	NULL	NULL	NULL	NULL
2	5548	Nether Blast V	1024	NULL	NULL	NULL	NULL
2	5549	Nether Blast VI	1024	NULL	NULL	NULL	NULL
2	5550	Nether Blast VII	1024	NULL	NULL	NULL	NULL
2	6169	Deadly Lightning Volley	64	NULL	NULL	NULL	NULL
3	3000	Ire of the Dark Prince	NULL	NULL	NULL	NULL	NULL
3	3894	Dark Persistence	NULL	NULL	NULL	NULL	NULL
3	3895	Dark Reflexes	NULL	NULL	NULL	NULL	NULL
3	3896	Dark Equilibrium	NULL	NULL	NULL	NULL	NULL
3	3897	Dark Purpose	NULL	NULL	NULL	NULL	NULL
3	3998	Dark Vortex	128	NULL	NULL	NULL	NULL
3	5349	Nether Bolt I	1024	NULL	NULL	NULL	NULL
3	5357	Nether Streak I	1024	NULL	NULL	NULL	NULL
3	5369	Nether Arc I	1024	NULL	NULL	NULL	NULL
3	5371	Festering Curse I	1024	NULL	NULL	NULL	NULL
3	5379	Weakening Curse I	1024	NULL	NULL	NULL	NULL
3	5407	Void Magic Mastery Other V	NULL	NULL	NULL	NULL	NULL
3	5408	Void Magic Mastery Other VI	NULL	NULL	NULL	NULL	NULL
3	5409	Void Magic Mastery Other VII	NULL	NULL	NULL	NULL	NULL
3	5410	Incantation of Void Magic Mastery Other	NULL	NULL	NULL	NULL	NULL
3	5981	Sath'tik's Curse	NULL	NULL	NULL	NULL	NULL
3	6164	Deadly Ring of Thorns	2	NULL	NULL	NULL	NULL
3	6165	Deadly Thorn Volley	2	NULL	NULL	NULL	NULL
3	6168	Deadly Ring of Lightning	64	NULL	NULL	NULL	NULL
4	1469	Hermetic Void I	NULL	NULL	NULL	NULL	NULL
4	1470	Hermetic Void II	NULL	NULL	NULL	NULL	NULL
4	1471	Hermetic Void III	NULL	NULL	NULL	NULL	NULL
4	1474	Hermetic Void VI	NULL	NULL	NULL	NULL	NULL
4	2371	Curse of Mortal Flesh	NULL	NULL	NULL	NULL	NULL
4	4406	Incantation of Hermetic Void	NULL	NULL	NULL	NULL	NULL
4	5426	Incantation of Void Magic Ineptitude Other	NULL	NULL	NULL	NULL	NULL
4	5430	Moderate Void Magic Aptitude	NULL	NULL	NULL	NULL	NULL
4	6074	Legendary Void Magic Aptitude	NULL	NULL	NULL	NULL	NULL
5	1472	Hermetic Void IV	NULL	NULL	NULL	NULL	NULL
5	5348	Incantation of Nether Streak	1024	NULL	NULL	NULL	NULL
5	5543	Curse of the Burning Sands	NULL	NULL	NULL	NULL	NULL
6	1473	Hermetic Void V	NULL	NULL	NULL	NULL	NULL
6	4316	Incantation of Mana Drain Other	NULL	512	NULL	NULL	-52
10	1221	Mana Drain Other III	NULL	512	NULL	NULL	-10
10	2078	Void's Call	NULL	512	NULL	NULL	-42
10	3914	Dark Vortex	128	NULL	NULL	NULL	NULL
10	3931	Dark Vortex	128	NULL	NULL	NULL	NULL
10	5418	Incantation of Void Magic Mastery Self	NULL	NULL	NULL	NULL	NULL
10	5551	Incantation of Nether Blast	1024	NULL	NULL	NULL	NULL
11	1219	Mana Drain Other I	NULL	512	NULL	NULL	-4
11	3067	Matron's Curse	NULL	NULL	NULL	NULL	NULL
12	2145	Cameron's Curse	4	NULL	NULL	NULL	NULL
13	1224	Mana Drain Other VI	NULL	512	NULL	NULL	-32
14	1220	Mana Drain Other II	NULL	512	NULL	NULL	-7
15	1250	Drain Stamina Other II	NULL	NULL	NULL	NULL	NULL
16	5386	Incantation of Weakening Curse	1024	NULL	NULL	NULL	NULL
17	5378	Incantation of Festering Curse	1024	NULL	NULL	NULL	NULL
18	5338	Incantation of Destructive Curse	1024	NULL	NULL	NULL	NULL
21	1261	Drain Mana Other II	NULL	NULL	NULL	NULL	NULL
21	1846	Curse of Black Fire	NULL	NULL	NULL	NULL	NULL
21	4645	Incantation of Drain Stamina Other	NULL	NULL	NULL	NULL	NULL
22	4644	Incantation of Drain Mana Other	NULL	NULL	NULL	NULL	NULL
22	5368	Incantation of Nether Arc	1024	NULL	NULL	NULL	NULL
25	1238	Drain Health Other II	NULL	NULL	NULL	NULL	NULL
27	5344	Destructive Curse VI	1024	NULL	NULL	NULL	NULL
27	5356	Incantation of Nether Bolt	1024	NULL	NULL	NULL	NULL
29	5355	Nether Bolt VII	1024	NULL	NULL	NULL	NULL
29	5377	Festering Curse VII	1024	NULL	NULL	NULL	NULL
29	5385	Weakening Curse VII	1024	NULL	NULL	NULL	NULL
30	5367	Nether Arc VII	1024	NULL	NULL	NULL	NULL
32	1260	Drain Mana Other I	NULL	NULL	NULL	NULL	NULL
34	1249	Drain Stamina Other I	NULL	NULL	NULL	NULL	NULL
42	1222	Mana Drain Other IV	NULL	512	NULL	NULL	-16
45	1223	Mana Drain Other V	NULL	512	NULL	NULL	-24
47	2329	Essence Void	NULL	NULL	NULL	NULL	NULL
48	1251	Drain Stamina Other III	NULL	NULL	NULL	NULL	NULL
48	3989	Dark Lightning	64	NULL	NULL	NULL	NULL
48	4643	Incantation of Drain Health Other	NULL	NULL	NULL	NULL	NULL
51	1253	Drain Stamina Other V	NULL	NULL	NULL	NULL	NULL
51	2068	Brittle Bones	NULL	NULL	NULL	NULL	NULL
57	1252	Drain Stamina Other IV	NULL	NULL	NULL	NULL	NULL
62	1264	Drain Mana Other V	NULL	NULL	NULL	NULL	NULL
63	1262	Drain Mana Other III	NULL	NULL	NULL	NULL	NULL
64	1254	Drain Stamina Other VI	NULL	NULL	NULL	NULL	NULL
81	1239	Drain Health Other III	NULL	NULL	NULL	NULL	NULL
84	1237	Drain Health Other I	NULL	NULL	NULL	NULL	NULL
87	1263	Drain Mana Other IV	NULL	NULL	NULL	NULL	NULL
105	1265	Drain Mana Other VI	NULL	NULL	NULL	NULL	NULL
166	1240	Drain Health Other IV	NULL	NULL	NULL	NULL	NULL
213	1241	Drain Health Other V	NULL	NULL	NULL	NULL	NULL
222	1242	Drain Health Other VI	NULL	NULL	NULL	NULL	NULL
